Entity,average_probability
the substitutes' bench,106000
coalition troops,141000
"consensus ""status, a player",84300000
the hands of any of the Lebanese,0
"Entei, along with its counterparts Raikou and Suicune",0
Good Counsel in the final,8
three times as much,11500000
an American landscape painter and author of illustrated works of cultural history and folklore,29
The race,169000000
The Congress of Racial Equality (CORE) surrounded the building before anyone,1
the social and economic development,20500000
A Google departure,6
a press conference held by the Information Office of the State Council,1180
David Jenkins,742000
"the company's director of communications, Lyan Sierra-Caro",0
"sex scandals: Gary Hart, Chuck Robb, and Teddy Kennedy",1
a critical budget that was aimed at shoring up public support,0
the commission,176000000
Castle Harlan,11700
the Kannada Kanva for his guardianship of Kannada Literature,4
many hidden crises and risks lurking ahead,0
"Oxford Professor Tariq Ramadan, law professor and U.N. war crimes expert M. Cherif Bassiouni, and University of Chicago Professor Jennifer Pitts",0
the border,213000000
This method of law enforcement,291000
baby gates,4810000
Hunt's debut in senior football,2
the transition,382000000
a number of clashes,151000
rain,926000000
ESR,40600000
less than two hours per day,209000
bankruptcy protection,2200000
Bayreuth and Plassenburg,4
the past two weeks,13900000
The GASB,186000
the investigation,184000000
much of that period,10600000
four locations where the Myitsone Dam is under construction in the country's northernmost Kachin state,0
She,5290000000
only a few areas,965000
Ephesian Artemis Artemis,8
songs,1350000000
black short shorts,294000
three goals,9300000
"this case Europa, daughter of the king of Tyre",1
"Cox about ""wanting to do something",55200
prices,1540000000
St. Tammany Parish Public Schools,13000
"a German ""grand, heroic, romantic ""opera by Carl Maria von Weber, first",7
spots,682000000
The movie,455000000
"Shannon Airport, Ireland",27800
Hawaii and the West Coast,252000
several visits,1260000
the Japanese automaker,443000
Lebanon and other places,111000
the CBBC show Trapped,18
a very very bad thing,216000
our classrooms,4900000
"American Sign Language, or ASL, for a time",7
real events,5010000
the designs of the often cruel Saskatchewan weather,0
Orlov,5020000
this ruling on the Danubius suit,0
the missile shield effort,3
negotiations,228000000
conjunction with a Blue Alliance board meeting,0
Vojislav Kostunica,29100
County Kilkenny,785000
Stockholm Open,149000
"the village of Polegate, near Eastbourne",2
"her father, Dodge, a United States Navy pilot who died in the Vietnam War",1
Suzanne Collins,2210000
criticism of drama,204000
the village,193000000
Lucille Ball,6840000
The behavior of complex macromolecular systems at materials interfaces,1
the development of breast cancer,19200000
half the human population,294000
a period in which the Taliban was gaining strength,0
a crowd,104000000
randomness,35200000
These acts,9190000
a month,656000000
pay,3900000000
An operation,37100000
nations,1150000000
a press conference after Hau's announcement,0
Aden,20100000
Everything Must Go,3180000
Police detectives,1340000
"Other acids of noncoordinating anion s, such as fluoroboric acid and hexafluorophosphoric acid",0
The island's parliament,8450
a collection of biographies and filmographies of the masters of Russian and Soviet animation,1
Bolton,83800000
Ray Bradbury The Illustrated Man,14300
The row,45700000
their efforts to prove their claim to Rancho La Brea,9
Entrena,737000
"the relief well, which should be completed within weeks",0
the Pernambuco state,14400
Spencer,290000000
the stadium,42500000
other things,343000000
the mayor,70700000
the adjacent line,23200
"Bacteria in the urine, especially gram-negative rods",1
"Slovakia's top brown coal producer, supplying fuel to the nearby Novaky heating plant",1
way,8570000000
the Swiss Alps,4760000
people,10090000000
royalty payments,1380000
junior high,43900000
break points,3060000
the bill,175000000
FFA spokesman Rod Allen,1
preliminary stages,583000
Chicago's south side,487000
"one player, who did not want to be named",3080
Le nozze di Figaro at the Spoleto Festival USA,1
the Turkish support,16800
stressful periods,233000
The commission,176000000
what cost,9110000
the concept,683000000
Laura Restrepo,39000
The Greek crisis,145000
the big leagues,4310000
a part,1270000000
Aftershock,9110000
some of the most talented young guitarists,5
Four days later,9030000
Democrat Senator Jack Reed,137
other machines,8130000
Li's Antung Street Studio,1
"the complaints, filed in federal court in Georgia",0
Egypt,1110000000
"Keil, Germany",7000
the new vocalist in Azores,0
Clube Atletico Paranaense and Democrata Futebol Clube,0
Mr. Gilmore,52300
"MTV, Mad",796
Police officers,88600000
wine,811000000
The parliament of the republic,948000
"Buffalo, New York",10600000
love,6350000000
Dutch politician Pim Fortuyn,3380
Sir Alan,483000
Iran,669000000
their games,19300000
the AHL's Binghamton Senators,586
Sammons,3470000
"Copenhagen, Denmark",27300000
"other anarchists, notably Murray Bookchin, whose polemic, Social Anarchism Or Lifestyle Anarchism: An Unbridgeable Chasm, attacks these recent trends in anarchist thinking",0
Project Gutenberg and the University of Virginia,8
The agency,209000000
The lorem ipsum,548000
the negotiations,14700000
Mr. Barak and other politicians,0
Deloitte,90500000
investor sentiment,3620000
Production,3080000000
A culture,227000000
Sweden,1260000000
the Sri Sampradaya Vaishnavas,1
a German football coach and a former player,719
the bishop,20700000
a far surer bet in a competitive district than a newcomer running to keep the seat in a party's hands,0
the Amazon River basin,258000
the songwriter and singer for four songs,1
his wife of two years,3090000
She and Max Rostal,4
the heroes of war,511000
President,1970000000
his wife,570000000
Armor for Sleep,120000
"Vancouver, BC",68600000
the race,169000000
a story in the public domain,226000
a visit to China,1240000
Australia,2650000000
The district,229000000
every presidential election over the past half century,2
Roger Federer in the semifinals,27600
am the German Schutzpolizei,61
The concern,49100000
The Earth,494000000
more years of litigation,99700
Giselda in Verdi's I Lombardi alla prima crociata,2
"a French Army training facility located in Arta, Djibouti",2
my mother,154000000
The park,289000000
An Italian foreign ministry official,533
the Massachusetts Senate race,5720
St. Charles Car Company,584
"a new black alternate with a Pirates' ""P",10700000
Clopidogrel,6060000
my whole family,10300000
"Wanpeng Shi, chairman of the General Textile Association",0
American aid efforts,2690
"his own band, Rich Kids",6
its influence,53200000
Sollom,137000
its own version of a CARE package,0
"a historic, epic change in the political dynamics of the country",1
a parking lot of the prison,0
a majority,197000000
The Battle of San Pasqual,9970
U.S. officials,6460000
"Pozsony, Hungary (now Bratislava, Slovakia, Pressburg in German) Elisabeth",2
the West,640000000
the stolen Yakuza data in his head in exchange for a shot of good shit,2
five officials,94800
magazines,465000000
The Pakistani Army,297000
four months,88700000
a luncheon meeting Tuesday of Democratic senators,0
"an American poet, an active proponent of the Confederate States of America, and a Roman Catholic priest",5
Chennai's first match of the tournament,0
nineteen hundred and fifty seven,11400
themselves,1920000000
Hayward,53800000
a good portion of the original Constantinople Wall,1
the NPA presence,1190
the APPD,9210
the actual figure,355000
a small bell turret,1150
peace,1280000000
one of my favourite sights in the night sky,2
Lone Star Steel's unsecured creditors' committee,0
Foreign rights groups,1120
a tough stance taken by Prime Minister Neville Chamberlain and a firm declaration,1
its session,393000
its target,28400000
Dozin' at the Knick,3750
three points from the,1130000
the Scottish Government,7430000
the other cats,1330000
security forces,21900000
work release,4230000
teachers,1410000000
the poverty line,11500000
the authorities,87400000
basketball and baseball,1640000
the packages,21700000
an expert to help FAZ review its constitution,0
Federal NDP leadership candidate Brian Topp,2
England coach Martin Johnson,1450
major bombings,5470
Skeletal and cardiac muscles,94900
